Feb 1, 2013 3:34:11 PM org.apache.karaf.main.SimpleFileLock lock
INFO: locking
2013-02-01 16:02:00,780 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\etc\org.ops4j.pax.url.mvn.cfg
2013-02-01 16:02:00,782 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\etc\org.apache.karaf.shell.cfg
2013-02-01 16:02:00,783 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\etc\org.apache.karaf.features.obr.cfg
2013-02-01 16:02:01,146 | INFO  | FelixStartLevel  | BlueprintExtender                | rint.container.BlueprintExtender  129 | 7 - org.apache.aries.blueprint.core - 1.0.1 | No quiesce support is available, so blueprint components will not participate in quiesce operations
2013-02-01 16:02:01,603 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.shell.console is waiting for namespace handlers [http://aries.apache.org/blueprint/xmlns/blueprint-ext/v1.0.0]
2013-02-01 16:02:01,667 | INFO  | FelixStartLevel  | core                             | ?                                   ? | 29 - org.apache.aries.jmx.core - 1.0.1 | Starting JMX OSGi agent
2013-02-01 16:02:01,719 | INFO  | FelixStartLevel  | core                             | ?                                   ? | 29 - org.apache.aries.jmx.core - 1.0.1 | Registering MBean with ObjectName [osgi.compendium:service=cm,version=1.3] for service with service.id [10]
2013-02-01 16:02:01,723 | WARN  | JMX OSGi Agent   | core                             | ?                                   ? | 29 - org.apache.aries.jmx.core - 1.0.1 | There are no MBean servers registred, can't register MBeans
2013-02-01 16:02:02,000 | INFO  | rint Extender: 2 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.shell.commands is waiting for namespace handlers [http://karaf.apache.org/xmlns/shell/v1.0.0]
2013-02-01 16:02:02,034 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.shell.ssh is waiting for namespace handlers [http://karaf.apache.org/xmlns/shell/v1.0.0]
2013-02-01 16:02:02,050 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.shell.log is waiting for namespace handlers [http://karaf.apache.org/xmlns/shell/v1.0.0]
2013-02-01 16:02:02,071 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.features.command is waiting for namespace handlers [http://karaf.apache.org/xmlns/shell/v1.0.0]
2013-02-01 16:02:02,141 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | container.BlueprintContainerImpl  330 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.diagnostic.management is waiting for dependencies [(objectClass=javax.management.MBeanServer)]
2013-02-01 16:02:02,151 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | container.BlueprintContainerImpl  330 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.management.server is waiting for dependencies [(objectClass=org.apache.karaf.jaas.config.KeystoreManager)]
2013-02-01 16:02:02,173 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.admin.command is waiting for namespace handlers [http://karaf.apache.org/xmlns/shell/v1.1.0]
2013-02-01 16:02:02,182 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | container.BlueprintContainerImpl  330 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.admin.management is waiting for dependencies [(objectClass=org.apache.karaf.admin.AdminService), (objectClass=javax.management.MBeanServer)]
2013-02-01 16:02:02,182 | INFO  | FelixStartLevel  | Activator                        | x.web.service.internal.Activator  144 | 75 - org.ops4j.pax.web.pax-web-runtime - 1.1.3 | Pax Web started
2013-02-01 16:02:02,193 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.diagnostic.command is waiting for namespace handlers [http://karaf.apache.org/xmlns/shell/v1.0.0]
2013-02-01 16:02:02,209 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.shell.dev is waiting for namespace handlers [http://karaf.apache.org/xmlns/shell/v1.0.0]
2013-02-01 16:02:02,234 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.jaas.command is waiting for namespace handlers [http://karaf.apache.org/xmlns/shell/v1.1.0]
2013-02-01 16:02:02,262 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.jaas.modules is waiting for namespace handlers [http://karaf.apache.org/xmlns/jaas/v1.0.0]
2013-02-01 16:02:02,296 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.shell.osgi is waiting for namespace handlers [http://karaf.apache.org/xmlns/shell/v1.0.0]
2013-02-01 16:02:02,329 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | container.BlueprintContainerImpl  330 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.features.management is waiting for dependencies [(objectClass=javax.management.MBeanServer)]
